Code,Indicator,Unit,Year,Australia,Canada,Australia minus Canada
BCA,Current account balance U.S. dollars (Billions of U.S. dollars),Billions of U.S. dollars,1980,-3.856,-6.088,2.232
BCA,Current account balance U.S. dollars (Billions of U.S. dollars),Billions of U.S. dollars,1981,-7.643,-12.843,5.2
BCA,Current account balance U.S. dollars (Billions of U.S. dollars),Billions of U.S. dollars,1982,-7.681,1.527,-9.208
BCA,Current account balance U.S. dollars (Billions of U.S. dollars),Billions of U.S. dollars,1983,-5.648,-2.865,-2.7829999999999995
BCA,Current account balance U.S. dollars (Billions of U.S. dollars),Billions of U.S. dollars,1984,-8.175,-1.63,-6.545000000000001
BCA,Current account balance U.S. dollars (Billions of U.S. dollars),Billions of U.S. dollars,1985,-8.478,-6.075,-2.4029999999999996
BCA,Current account balance U.S. dollars (Billions of U.S. dollars),Billions of U.S. dollars,1986,-9.163,-11.598,2.4350000000000005
BCA,Current account balance U.S. dollars (Billions of U.S. dollars),Billions of U.S. dollars,1987,-7.223,-13.958,6.735
BCA,Current account balance U.S. dollars (Billions of U.S. dollars),Billions of U.S. dollars,1988,-10.391,-15.589,5.198
BCA,Current account balance U.S. dollars (Billions of U.S. dollars),Billions of U.S. dollars,1989,-18.46,-22.439,3.978999999999999
BCA,Current account balance U.S. dollars (Billions of U.S. dollars),Billions of U.S. dollars,1990,-15.781,-20.459,4.677999999999999
BCA,Current account balance U.S. dollars (Billions of U.S. dollars),Billions of U.S. dollars,1991,-10.693,-22.843,12.15
BCA,Current account balance U.S. dollars (Billions of U.S. dollars),Billions of U.S. dollars,1992,-10.466,-21.441,10.975
BCA,Current account balance U.S. dollars (Billions of U.S. dollars),Billions of U.S. dollars,1993,-9.413,-22.219,12.806000000000001
BCA,Current account balance U.S. dollars (Billions of U.S. dollars),Billions of U.S. dollars,1994,-15.899,-13.778,-2.1209999999999987
BCA,Current account balance U.S. dollars (Billions of U.S. dollars),Billions of U.S. dollars,1995,-18.831,-4.987,-13.844
BCA,Current account balance U.S. dollars (Billions of U.S. dollars),Billions of U.S. dollars,1996,-14.879,2.619,-17.498
BCA,Current account balance U.S. dollars (Billions of U.S. dollars),Billions of U.S. dollars,1997,-12.481,-8.76,-3.721
BCA,Current account balance U.S. dollars (Billions of U.S. dollars),Billions of U.S. dollars,1998,-18.719,-8.485,-10.234000000000002
